id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S102;L'avventura di una moglie;20/11/1958;0;1;0;0;0;0;0.08;0;100;0;0.07;0.06;0;0.02;552;0;0;0;14457;0;5;0;0;0;0
S103;L'avventura di due sposi;20/11/1958;0;1;0;0;0;0;0.15;0;100;0;0.12;0.06;0;0.02;87;346;66;238;7814;0;7;0;0;0;0
S104;L'avventura di un poeta;20/11/1958;0;0.4;0;0;0;0.6;0;0;0;0;0;0;0;0;1615;0;0;608;11830;0;2;0;0;0;3
S105;L'avventura di uno sciatore;01/05/1959;0;1;0;0;0;0;0.19;0.11;67;33;0.27;0.12;0.03;0.07;0;85;108;1301;13850;0;5;0;0;0;0
S106;La strada di San Giovanni;01/01/1962;0;0;0;0;0;1;0;0.02;0;100;0.02;0;0.03;0.02;1519;1101;221;1805;39265;0;0;0;0;0;9
S107;Diario in clinica;01/04/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;110;83;0;10815;0;2;0;0;0;0
S108;Marcovaldo al supermarket;20/10/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;87;0;43;243;10606;0;3;0;0;0;0
S109;La pioggia e le foglie;27/10/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;164;12518;0;12;0;0;0;0
S110;La fermata sbagliata;03/11/1963;0;1;0;0;0;0;1;0.13;92;8;1.36;1.05;0.03;0.27;0;101;88;86;13030;0;15;0;0;0;0
S111;Fumo, vento e bolle di sapone;10/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;12414;0;8;0;0;0;0
S112;Un sabato di sole, sabbia e sonno;23/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;132;7838;0;3;0;0;0;0
S113;La città tutta per lui;23/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;170;73;0;6089;0;5;0;0;0;0
S114;Il giardino dei gatti ostinati;23/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1471;150;350;429;20899;0;9;0;0;0;0
S115;I figli di Babbo Natale;23/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;462;344;0;178;15228;0;10;0;0;0;0
S116;Dov'è più azzurro il fiume;23/11/1963;0;1;0;0;0;0;0;0;0;0;0;0;0;0;628;0;44;0;5787;0;7;0;0;0;0
S117;La città smarrita nella neve;23/11/1963;0;1;0;0;0;0;0;0.18;0;100;0.18;0;0.03;0.02;157;0;0;230;8741;0;9;0;0;0;0
S118;La distanza della Luna;01/11/1964;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1341;0;370;432;29733;0;0;0;0;4;0
S119;Sul far del giorno;01/11/1964;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;229;0;43;304;19463;1;0;0;0;1;0
S120;Un segno nello spazio;01/11/1964;1;0;0;0;0;0;0;0;0;100;0;0;0.34;0.25;128;0;36;1201;19237;4;0;0;0;0;0
S121;Tutto in un punto;01/11/1964;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;39;751;9490;0;0;0;0;3;0
S122;Senza colori;11/04/1965;0;0;0;0;1;0;0.16;0.08;67;33;0.22;0.12;0.03;0.07;594;0;55;0;18946;0;0;0;0;11;0
S123;Fino a che dura il Sole;18/04/1965;0.333;0;0;0;0.667;0;0;0;0;0;0;0;0;0;109;776;150;690;14692;1;0;0;0;2;0
S124;Lo zio acquatico;01/05/1965;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;82;247;21396;0;0;0;0;9;0
S125;La Luna come un fungo;16/05/1965;0;0;0;0;1;0;0;0;0;0;0;0;0;0;661;536;45;0;16925;0;0;0;0;4;0
S126;Giochi senza fine;24/10/1965;1;0;0;0;0;0;0;0;0;0;0;0;0;0;624;54;0;0;11691;2;0;0;0;0;0
S127;I meteoriti;31/10/1965;0;0;0;0;1;0;0;0.18;0;100;0.18;0;0.06;0.05;761;439;193;497;17758;0;0;0;0;3;0
S128;La forma dello spazio;14/11/1965;1;0;0;0;0;0;0;0.12;0;100;0.12;0;0.03;0.02;0;0;192;1065;15776;8;0;0;0;0;0
S129;Quanto scommettiamo;15/11/1965;1;0;0;0;0;0;0.1;0;100;0;0.08;0.06;0;0.02;0;0;108;0;16962;4;0;0;0;0;0
S130;I Dinosauri;15/11/1965;0;0;0;0;1;0;0;0.1;0;100;0.1;0;0.06;0.05;355;193;200;167;32538;0;0;0;0;14;0
S131;Gli anni-luce;15/11/1965;1;0;0;0;0;0;0;0.18;0;100;0.18;0;0.09;0.07;261;153;0;0;26660;2;0;0;0;0;0
S132;La spirale;15/11/1965;0;1;0;0;0;0;0.05;0;100;0;0.04;0.06;0;0.02;1392;549;4235;1791;27755;0;3;0;0;0;0
S133;Ti con zero;01/11/1966;0;1;0;0;0;0;0;0.06;0;100;0.06;0;0.03;0.02;931;0;213;2054;27727;0;3;0;0;0;0
S134;I. Mitosi;01/01/1967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;275;424;120;424;27482;0;2;0;0;0;0
S135;L'inseguimento;28/05/1967;0;1;0;0;0;0;0;0;0;0;0;0;0;0;170;0;58;192;26513;0;4;0;0;0;0
S136;I cristalli;11/06/1967;0;0;0;0;1;0;0.09;0;100;0;0.07;0.06;0;0.02;135;60;27;102;15771;0;0;0;0;11;0
S137;L'origine degli uccelli;01/07/1967;0;0;0;0;1;0;0.05;0.14;33;67;0.18;0.06;0.06;0.07;528;0;148;380;21376;0;0;0;0;12;0
S138;La memoria del mondo;02/07/1967;0;1;0;0;0;0;0;0.34;0;100;0.34;0;0;0.07;85;0;66;0;13732;0;2;0;0;0;0
