id	Fonte	Titolo Fonte	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota
L00125	S027	Si dorme come cani	1948	portici	Torino	L00126	generico						sì	sì	-	generico_terrestre	11383	11390
L00126	S027	Si dorme come cani	1948	Torino 			nominato	comune	sì				sì	sì	no	nominato_terrestre	-	-
L00127	S028	Com'era grande il mare	1948	strada litoranea			generico			x			no	sì	-	generico_terrestre	32	38
L00128	S028	Com'era grande il mare	1948	mare			generico						no	sì	-	generico_terrestre	538	542
L00129	S028	Com'era grande il mare	1948	ripa			generico					x	no	sì	-	generico_terrestre	1150	1154
L00130	S029	Il gatto e il poliziotto	1948	Torino (città)			nominato	comune	sì	x			sì	sì	no	nominato_terrestre	632	637	sì
L00131	S029	Il gatto e il poliziotto	1948	quartieri operai	Torino	L00130	generico				x		sì	sì	-	generico_terrestre	1841	1857
L00132	S029	Il gatto e il poliziotto	1948	casa	quartieri operai	L00131	generico					x	sì	sì	-	generico_terrestre	1879	1883
L00133	S030	Pranzo con un pastore	1948	sala (da pranzo)			generico			x			no	sì	-	generico_terrestre	1210	1214
L00134	S030	Pranzo con un pastore	1948	casolare			generico					x	no	sì	-	generico_terrestre	13754	13762
L00135	S031	Voglia di mare	1948	piazza	Cittadella	L00136	generico			x			no	sì	-	generico_terrestre	91	97	sì
L00136	S031	Voglia di mare	1948	Cittadella			nominato	contrada					no	sì	no	nominato_terrestre	214	224
L00137	S032	Isabella e Fioravanti	1948	Sant'Alcide			nominato	comune		x			no	sì	sì	inventato	77	90
L00138	S032	Isabella e Fioravanti	1948	stanzetta	Sant'Alcide	L00137	generico						no	sì	-	generico_terrestre	2765	2774
L00139	S032	Isabella e Fioravanti	1948	balcone	stanzetta	L00138	generico						no	sì	-	generico_terrestre	3683	3690
L00140	S032	Isabella e Fioravanti	1948	sezione democristiana	Sant'Alcide	L00137	generico				x		no	sì	-	generico_terrestre	4278	4299
L00141	S032	Isabella e Fioravanti	1948	fabbrica			generico						no	sì	-	generico_terrestre	5159	5167
L00142	S032	Isabella e Fioravanti	1948	fienile			generico					x	no	sì	-	generico_terrestre	8805	8812
L00143	S033	Chi ha messo la mina nel mare?	1948	villa	cittadina rivierasca	L00144	generico			x	x		no	sì	-	generico_terrestre	36	41
L00144	S033	Chi ha messo la mina nel mare?	1948	cittadina rivierasca			generico						no	sì	-	generico_terrestre	6092	6112
L00145	S033	Chi ha messo la mina nel mare?	1948	Case Vecchie 	cittadina rivierasca	L00144	nominato	quartiere					no	sì	sì	inventato	6884	6896
L00146	S033	Chi ha messo la mina nel mare?	1948	Osteria dell'Orecchia Mozzata	cittadina rivierasca	L00144	nominato	landmak					no	sì	sì	inventato	6993	7022
L00147	S033	Chi ha messo la mina nel mare?	1948	casa	cittadina rivierasca	L00144	generico						no	sì	-	generico_terrestre	7970	7974
L00148	S033	Chi ha messo la mina nel mare?	1948	mare			generico						no	sì	-	generico_terrestre	8390	8394
L00149	S033	Chi ha messo la mina nel mare?	1948	riva			generico					x	no	sì	-	generico_terrestre	10017	10021
L00150	S034	Dollari e vecchie mondane	1948	Deposito Franco	Sanremo	L00164	nominato	landmark			x		sì	sì	no	nominato_terrestre	245	260	sì
L00151	S034	Dollari e vecchie mondane	1948	Bar La botte di Diogene	Sanremo	L00164	nominato	landmark					sì	sì	no	nominato_terrestre	1168	1187
L00152	S034	Dollari e vecchie mondane	1948	via	Sanremo	L00164	generico					x	sì	sì	-	generico_terrestre	6034	6037
L00153	S034	Dollari e vecchie mondane	1948	Caffé Lamarmora	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	6058	6073
L00154	S034	Dollari e vecchie mondane	1948	Bar Parigi	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	6284	6294
L00155	S034	Dollari e vecchie mondane	1948	Giglio	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	6519	6525
L00156	S034	Dollari e vecchie mondane	1948	retrobottega	Bar La botte di Diogene	L00151	generico						sì	sì	-	generico_terrestre	10192	10204
L00157	S034	Dollari e vecchie mondane	1948	cameretta	Bar La botte di Diogene	L00151	generico						sì	sì	-	generico_terrestre	10749	10758
L00158	S034	Dollari e vecchie mondane	1948	piazza	Sanremo	L00164	generico						sì	sì	-	generico_terrestre	11835	11841
L00159	S034	Dollari e vecchie mondane	1948	Iris (locale)	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	12639	12643
L00160	S034	Dollari e vecchie mondane	1948	Caffè dei viaggiatori	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	13441	13462
L00161	S034	Dollari e vecchie mondane	1948	Albergo Pace	Sanremo	L00164	nominato	landmark					sì	sì	sì	inventato	13502	13514
L00162	S034	Dollari e vecchie mondane	1948	imbarco	Sanremo	L00164	generico						sì	sì	-	generico_terrestre	20278	20285
L00163	S034	Dollari e vecchie mondane	1948	questura	Sanremo	L00164	generico						sì	sì	-	generico_terrestre	20305	20313
L00164	S034	Dollari e vecchie mondane	1948	Sanremo			nominato	comune					sì	sì	no	nominato_terrestre	-	-
L00165	S035	Freddo a Napoli	1949	Napoli			nominato	comune		x		x	sì	sì	no	nominato_terrestre	39	45
L00166	S035	Freddo a Napoli	1949	via Toledo	Napoli	L00165	nominato	landmark					sì	sì	no	nominato_terrestre	2102	2108
L00167	S036	Lasciare Anna	1949	marciapiede	Torino (città)	L00168	generico			x			sì	sì	-	generico_terrestre	44	55	sì
L00168	S036	Lasciare Anna	1949	Torino (città)		L00168	nominato	comune	sì				sì	sì	no	nominato_terrestre	550	555
L00169	S036	Lasciare Anna	1949	vie	Torino (città)	L00168	generico						sì	sì	-	generico_terrestre	2863	2866
L00170	S036	Lasciare Anna	1949	crocevia	Torino (città)	L00168	generico						sì	sì	-	generico_terrestre	4819	4827
L00171	S037	Un pomeriggio, Adamo	1949	cucina	casa	L00173	generico			x		x	no	sì	-	generico_terrestre	621	627
L00172	S037	Un pomeriggio, Adamo	1949	giardino	casa	L00173	generico				x		no	sì	-	generico_terrestre	3683	3691
L00173	S037	Un pomeriggio, Adamo	1949	casa			generico						no	sì	-	generico_terrestre	6219	6223
L00174	S038	La casa degli alveari	1949	casa	vallata	L00178	generico			x			no	sì	-	generico_terrestre	242	246
L00175	S038	La casa degli alveari	1949	campo	vallata	L00178	generico						no	sì	-	generico_terrestre	1808	1813
L00176	S038	La casa degli alveari	1949	bosco	vallata	L00178	generico						no	sì	-	generico_terrestre	3979	3984
L00177	S038	La casa degli alveari	1949	ripa	vallata	L00178	generico				x		no	sì	-	generico_terrestre	5454	5458
L00178	S038	La casa degli alveari	1949	vallata			generico					x	no	sì	-	generico_terrestre	5794	5802
L00179	S039	La stessa cosa del sangue	1949	casa	collina	L00180	generico						sì	sì	-	generico_terrestre	102	106	sì
L00180	S039	La stessa cosa del sangue	1949	collina	vallata	L00181	generico			x			sì	sì	-	generico_terrestre	163	170
L00181	S039	La stessa cosa del sangue	1949	vallata	Liguria	L00190	generico						sì	sì	-	generico_terrestre	610	617
L00182	S039	La stessa cosa del sangue	1949	bosco	vallata	L00181	generico						sì	sì	-	generico_terrestre	795	800
L00183	S039	La stessa cosa del sangue	1949	Bicocca	Liguria	L00190	nominato	landmark					sì	sì	no	nominato_terrestre	1816	1823
L00184	S039	La stessa cosa del sangue	1949	campi	vallata	L00181	generico						sì	sì	-	generico_terrestre	5974	5979
L00185	S039	La stessa cosa del sangue	1949	tana	bosco	L00182	generico						sì	sì	-	generico_terrestre	8641	8645
L00186	S039	La stessa cosa del sangue	1949	terreni	vallata	L00181	generico						sì	sì	-	generico_terrestre	9386	9393
L00187	S039	La stessa cosa del sangue	1949	accampamento	vallata	L00181	generico						sì	sì	-	generico_terrestre	11587	11599
L00188	S039	La stessa cosa del sangue	1949	Rocche del Corvo	Liguria	L00190	nominato	landmark				x	sì	sì	no	nominato_terrestre	12651	12667
